2026-05-21 15:19:29 install libcap-ng0:armhf <none> 0.8.3-1+b3
2026-05-21 15:19:29 status half-installed libcap-ng0:armhf 0.8.3-1+b3
2026-05-21 15:19:30 status unpacked libcap-ng0:armhf 0.8.3-1+b3
2026-05-21 15:19:30 install libcap2:armhf <none> 1:2.66-4+deb12u3+b1
2026-05-21 15:19:30 status half-installed libcap2:armhf 1:2.66-4+deb12u3+b1
2026-05-21 15:19:30 status unpacked libcap2:armhf 1:2.66-4+deb12u3+b1
2026-05-21 15:19:31 install libcom-err2:armhf <none> 1.47.0-2+b2
2026-05-21 15:19:31 status half-installed libcom-err2:armhf 1.47.0-2+b2
2026-05-21 15:19:31 status unpacked libcom-err2:armhf 1.47.0-2+b2
2026-05-21 15:19:32 install libcrypt1:armhf <none> 1:4.4.33-2
2026-05-21 15:19:32 status half-installed libcrypt1:armhf 1:4.4.33-2
2026-05-21 15:19:32 status unpacked libcrypt1:armhf 1:4.4.33-2
2026-05-21 15:19:33 install libdb5.3:armhf <none> 5.3.28+dfsg2-1
2026-05-21 15:19:33 status half-installed libdb5.3:armhf 5.3.28+dfsg2-1
2026-05-21 15:19:33 status unpacked libdb5.3:armhf 5.3.28+dfsg2-1
2026-05-21 15:19:34 install libdebconfclient0:armhf <none> 0.270
2026-05-21 15:19:34 status half-installed libdebconfclient0:armhf 0.270
2026-05-21 15:19:34 status unpacked libdebconfclient0:armhf 0.270
2026-05-21 15:19:34 install libext2fs2:armhf <none> 1.47.0-2+b2
2026-05-21 15:19:34 status half-installed libext2fs2:armhf 1.47.0-2+b2
2026-05-21 15:19:35 status unpacked libext2fs2:armhf 1.47.0-2+b2
2026-05-21 15:19:35 install libffi8:armhf <none> 3.4.4-1
2026-05-21 15:19:35 status half-installed libffi8:armhf 3.4.4-1
2026-05-21 15:19:35 status unpacked libffi8:armhf 3.4.4-1
2026-05-21 15:19:36 install libgcc-s1:armhf <none> 12.2.0-14+deb12u1
2026-05-21 15:19:36 status half-installed libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:19:36 status unpacked libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:19:37 install libgcrypt20:armhf <none> 1.10.1-3
2026-05-21 15:19:37 status half-installed libgcrypt20:armhf 1.10.1-3
2026-05-21 15:19:37 status unpacked libgcrypt20:armhf 1.10.1-3
2026-05-21 15:19:38 install libgmp10:armhf <none> 2:6.2.1+dfsg1-1.1
2026-05-21 15:19:38 status half-installed libgmp10:armhf 2:6.2.1+dfsg1-1.1
2026-05-21 15:19:38 status unpacked libgmp10:armhf 2:6.2.1+dfsg1-1.1
2026-05-21 15:19:39 install libgnutls30:armhf <none> 3.7.9-2+deb12u6
2026-05-21 15:19:39 status half-installed libgnutls30:armhf 3.7.9-2+deb12u6
2026-05-21 15:19:39 status unpacked libgnutls30:armhf 3.7.9-2+deb12u6
2026-05-21 15:19:40 install libgpg-error0:armhf <none> 1.46-1
2026-05-21 15:19:40 status half-installed libgpg-error0:armhf 1.46-1
2026-05-21 15:19:40 status unpacked libgpg-error0:armhf 1.46-1
2026-05-21 15:19:41 install libhogweed6:armhf <none> 3.8.1-2
2026-05-21 15:19:41 status half-installed libhogweed6:armhf 3.8.1-2
2026-05-21 15:19:41 status unpacked libhogweed6:armhf 3.8.1-2
2026-05-21 15:19:41 install libidn2-0:armhf <none> 2.3.3-1+b1
2026-05-21 15:19:41 status half-installed libidn2-0:armhf 2.3.3-1+b1
2026-05-21 15:19:42 status unpacked libidn2-0:armhf 2.3.3-1+b1
2026-05-21 15:19:42 install liblz4-1:armhf <none> 1.9.4-1
2026-05-21 15:19:42 status half-installed liblz4-1:armhf 1.9.4-1
2026-05-21 15:19:43 status unpacked liblz4-1:armhf 1.9.4-1
2026-05-21 15:19:43 install liblzma5:armhf <none> 5.4.1-1
2026-05-21 15:19:43 status half-installed liblzma5:armhf 5.4.1-1
2026-05-21 15:19:44 status unpacked liblzma5:armhf 5.4.1-1
2026-05-21 15:19:44 install libmd0:armhf <none> 1.0.4-2
2026-05-21 15:19:44 status half-installed libmd0:armhf 1.0.4-2
2026-05-21 15:19:44 status unpacked libmd0:armhf 1.0.4-2
2026-05-21 15:19:45 install libmount1:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:19:45 status half-installed libmount1:armhf 2.38.1-5+deb12u3
2026-05-21 15:19:45 status unpacked libmount1:armhf 2.38.1-5+deb12u3
2026-05-21 15:19:46 install libnettle8:armhf <none> 3.8.1-2
2026-05-21 15:19:46 status half-installed libnettle8:armhf 3.8.1-2
2026-05-21 15:19:46 status unpacked libnettle8:armhf 3.8.1-2
2026-05-21 15:19:47 install libp11-kit0:armhf <none> 0.24.1-2
2026-05-21 15:19:47 status half-installed libp11-kit0:armhf 0.24.1-2
2026-05-21 15:19:47 status unpacked libp11-kit0:armhf 0.24.1-2
2026-05-21 15:19:48 install libpam-modules:armhf <none> 1.5.2-6+deb12u2
2026-05-21 15:19:48 status half-installed libpam-modules:armhf 1.5.2-6+deb12u2
2026-05-21 15:19:49 status unpacked libpam-modules:armhf 1.5.2-6+deb12u2
2026-05-21 15:19:49 install libpam-modules-bin:armhf <none> 1.5.2-6+deb12u2
2026-05-21 15:19:49 status half-installed libpam-modules-bin:armhf 1.5.2-6+deb12u2
2026-05-21 15:19:50 status unpacked libpam-modules-bin:armhf 1.5.2-6+deb12u2
2026-05-21 15:19:50 install libpam-runtime:all <none> 1.5.2-6+deb12u2
2026-05-21 15:19:50 status half-installed libpam-runtime:all 1.5.2-6+deb12u2
2026-05-21 15:19:51 status unpacked libpam-runtime:all 1.5.2-6+deb12u2
2026-05-21 15:19:51 install libpam0g:armhf <none> 1.5.2-6+deb12u2
2026-05-21 15:19:51 status half-installed libpam0g:armhf 1.5.2-6+deb12u2
2026-05-21 15:19:52 status unpacked libpam0g:armhf 1.5.2-6+deb12u2
2026-05-21 15:19:52 install libpcre2-8-0:armhf <none> 10.42-1
2026-05-21 15:19:52 status half-installed libpcre2-8-0:armhf 10.42-1
2026-05-21 15:19:52 status unpacked libpcre2-8-0:armhf 10.42-1
2026-05-21 15:19:53 install libseccomp2:armhf <none> 2.5.4-1+deb12u1
2026-05-21 15:19:53 status half-installed libseccomp2:armhf 2.5.4-1+deb12u1
2026-05-21 15:19:53 status unpacked libseccomp2:armhf 2.5.4-1+deb12u1
2026-05-21 15:19:54 install libselinux1:armhf <none> 3.4-1+b6
2026-05-21 15:19:54 status half-installed libselinux1:armhf 3.4-1+b6
2026-05-21 15:19:54 status unpacked libselinux1:armhf 3.4-1+b6
2026-05-21 15:19:55 install libsemanage-common:all <none> 3.4-1
2026-05-21 15:19:55 status half-installed libsemanage-common:all 3.4-1
2026-05-21 15:19:55 status unpacked libsemanage-common:all 3.4-1
2026-05-21 15:19:56 install libsemanage2:armhf <none> 3.4-1+b5
2026-05-21 15:19:56 status half-installed libsemanage2:armhf 3.4-1+b5
2026-05-21 15:19:56 status unpacked libsemanage2:armhf 3.4-1+b5
2026-05-21 15:19:56 install libsepol2:armhf <none> 3.4-2.1
2026-05-21 15:19:56 status half-installed libsepol2:armhf 3.4-2.1
2026-05-21 15:19:57 status unpacked libsepol2:armhf 3.4-2.1
2026-05-21 15:19:57 install libsmartcols1:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:19:57 status half-installed libsmartcols1:armhf 2.38.1-5+deb12u3
2026-05-21 15:19:58 status unpacked libsmartcols1:armhf 2.38.1-5+deb12u3
2026-05-21 15:19:58 install libss2:armhf <none> 1.47.0-2+b2
2026-05-21 15:19:58 status half-installed libss2:armhf 1.47.0-2+b2
2026-05-21 15:19:58 status unpacked libss2:armhf 1.47.0-2+b2
2026-05-21 15:19:59 install libstdc++6:armhf <none> 12.2.0-14+deb12u1
2026-05-21 15:19:59 status half-installed libstdc++6:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:00 status unpacked libstdc++6:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:00 install libsystemd0:armhf <none> 252.39-1~deb12u2
2026-05-21 15:20:00 status half-installed libsystemd0:armhf 252.39-1~deb12u2
2026-05-21 15:20:00 status unpacked libsystemd0:armhf 252.39-1~deb12u2
2026-05-21 15:20:01 install libtasn1-6:armhf <none> 4.19.0-2+deb12u1
2026-05-21 15:20:01 status half-installed libtasn1-6:armhf 4.19.0-2+deb12u1
